Product,ProductFeature,SentimentCategory,SentimentScore,CommonIssues
Product_C,Ease of Use,Positive,0.65,Doesn't work as expected
Product_D,Design,Positive,0.63,Breaks easily
Product_A,Ease of Use,Positive,0.23,Breaks easily
Product_D,Ease of Use,Negative,0.71,Limited features
Product_A,Ease of Use,Positive,0.34,Not sturdy
Product_E,Value for Money,Negative,0.27,Uncomfortable
Product_C,Design,Positive,0.72,Not worth the price
Product_E,Value for Money,Neutral,0.29,Wears out quickly
Product_E,Functionality,Negative,0.69,Not worth the price
Product_C,Ease of Use,Neutral,0.81,Poor aesthetics
Product_A,Design,Neutral,0.1,Difficult to operate
Product_B,Ease of Use,Negative,0.71,Looks outdated
Product_B,Ease of Use,Positive,0.72,Too many steps
Product_C,Durability,Negative,0.63,Poor aesthetics
Product_E,Durability,Neutral,0.29,Not sturdy
Product_E,Design,Positive,0.34,Hard to understand
Product_A,Ease of Use,Positive,0.6,Poor aesthetics
Product_C,Value for Money,Neutral,0.86,Uncomfortable
Product_D,Value for Money,Positive,0.41,Uncomfortable
Product_D,Value for Money,Negative,0.55,Doesn't work as expected
Product_D,Durability,Negative,0.46,Not sturdy
Product_B,Ease of Use,Negative,0.65,Too expensive
Product_D,Value for Money,Negative,0.52,Breaks easily
Product_C,Value for Money,Negative,0.9,Doesn't work as expected
Product_E,Durability,Neutral,0.54,Too expensive
Product_B,Design,Neutral,0.6,Too many steps
Product_E,Ease of Use,Negative,0.47,Doesn't work as expected
Product_A,Ease of Use,Positive,0.48,Breaks easily
Product_A,Design,Negative,0.49,Not worth the price
Product_E,Durability,Negative,0.72,Not worth the price
Product_C,Durability,Negative,0.73,Not user-friendly
Product_A,Ease of Use,Neutral,0.72,Wears out quickly
Product_B,Design,Negative,0.15,Not worth the price
Product_C,Durability,Negative,0.55,Poor aesthetics
Product_A,Design,Neutral,0.72,Wears out quickly
Product_B,Design,Positive,0.75,Wears out quickly
Product_A,Functionality,Neutral,0.44,Looks outdated
Product_A,Functionality,Neutral,0.43,Not worth the price
Product_A,Value for Money,Positive,0.26,Poor aesthetics
Product_D,Design,Positive,0.19,Breaks easily
Product_A,Value for Money,Negative,0.56,Looks outdated
Product_B,Design,Neutral,0.76,Better alternatives exist
Product_C,Durability,Positive,0.54,Looks outdated
Product_A,Design,Negative,0.26,Uncomfortable
Product_E,Design,Positive,0.73,Uncomfortable
Product_C,Durability,Neutral,0.05,Not user-friendly
Product_B,Durability,Positive,0.56,Not worth the price
Product_C,Durability,Negative,0.35,Poor aesthetics
Product_B,Value for Money,Negative,0.44,Not user-friendly
Product_D,Design,Positive,0.61,Too expensive
Product_A,Functionality,Neutral,0.57,Difficult to operate
Product_C,Value for Money,Positive,0.69,Not worth the price
Product_B,Functionality,Negative,0.69,Better alternatives exist
Product_C,Design,Negative,0.22,Uncomfortable
Product_E,Value for Money,Positive,0.08,Breaks easily
Product_C,Functionality,Positive,0.31,Difficult to operate
Product_E,Value for Money,Positive,0.45,Wears out quickly
Product_A,Ease of Use,Neutral,0.53,Not user-friendly
Product_B,Functionality,Positive,0.64,Hard to understand
Product_E,Ease of Use,Positive,0.45,Doesn't work as expected
Product_A,Design,Positive,0.46,Limited features
Product_A,Durability,Neutral,0.44,Hard to understand
Product_C,Value for Money,Negative,0.85,Wears out quickly
Product_B,Value for Money,Neutral,0.37,Poor aesthetics
Product_B,Value for Money,Positive,0.47,Breaks easily
Product_B,Design,Positive,0.55,Looks outdated
Product_A,Design,Negative,0.91,Not worth the price
Product_B,Functionality,Neutral,0.75,Breaks easily
Product_A,Functionality,Positive,0.77,Not sturdy
Product_B,Design,Negative,0.4,Uncomfortable
Product_A,Value for Money,Negative,0.22,Not sturdy
Product_B,Durability,Neutral,0.43,Poor aesthetics
Product_B,Design,Positive,0.24,Poor aesthetics
Product_D,Design,Positive,0.98,Hard to understand
Product_B,Value for Money,Negative,0.57,Wears out quickly
Product_D,Design,Negative,0.48,Poor aesthetics
Product_C,Design,Negative,0.26,Doesn't work as expected
Product_C,Functionality,Neutral,0.65,Looks outdated
Product_E,Value for Money,Positive,0.63,Wears out quickly
Product_B,Functionality,Neutral,0.44,Hard to understand
Product_B,Durability,Negative,0.47,Better alternatives exist
Product_C,Functionality,Positive,0.81,Not worth the price
Product_B,Ease of Use,Negative,0.8,Breaks easily
Product_A,Ease of Use,Negative,0.61,Breaks easily
Product_B,Value for Money,Negative,0.52,Breaks easily
Product_C,Ease of Use,Neutral,0.36,Too many steps
Product_C,Functionality,Positive,0.59,Doesn't work as expected
Product_C,Ease of Use,Positive,0.62,Too expensive
Product_A,Functionality,Negative,0.38,Difficult to operate
Product_A,Design,Positive,0.72,Looks outdated
Product_E,Functionality,Negative,0.22,Not sturdy
Product_E,Value for Money,Neutral,0.89,Wears out quickly
Product_C,Ease of Use,Neutral,0.92,Not worth the price
Product_A,Value for Money,Positive,0.76,Not sturdy
Product_A,Functionality,Positive,0.78,Limited features
Product_C,Ease of Use,Positive,0.13,Uncomfortable
Product_D,Design,Positive,0.5,Doesn't work as expected
Product_E,Ease of Use,Neutral,0.46,Too expensive
Product_D,Functionality,Positive,0.56,Doesn't work as expected
Product_A,Functionality,Negative,0.52,Limited features
Product_E,Durability,Positive,0.56,Too many steps
Product_E,Durability,Neutral,0.37,Doesn't work as expected
Product_C,Durability,Positive,0.2,Not user-friendly
Product_B,Ease of Use,Neutral,0.25,Too many steps
Product_A,Durability,Neutral,0.72,Poor aesthetics
Product_A,Ease of Use,Positive,0.42,Too many steps
Product_D,Durability,Negative,0.41,Wears out quickly
Product_B,Functionality,Positive,0.8,Difficult to operate
Product_D,Design,Neutral,0.42,Hard to understand
Product_A,Functionality,Positive,0.36,Uncomfortable
Product_C,Ease of Use,Neutral,0.39,Looks outdated
Product_A,Design,Positive,0.9,Difficult to operate
Product_D,Durability,Positive,0.1,Too many steps
Product_E,Functionality,Positive,0.39,Breaks easily
Product_E,Durability,Neutral,0.31,Doesn't work as expected
Product_D,Durability,Positive,0.69,Too many steps
Product_A,Design,Positive,0.65,Too many steps
Product_E,Value for Money,Neutral,0.33,Doesn't work as expected
Product_A,Value for Money,Negative,0.68,Looks outdated
